1,1,4.0
1,2,5.0
1,3,2.0
1,4,1.0
1,5,1.0
1,6,4.0
1,7,1.0
1,8,4.0
1,9,4.0
1,10,2.0
1,11,4.0
2,1,3.0
2,2,1.0
2,3,5.0
2,4,4.0
2,5,1.0
2,6,3.0
2,7,5.0
2,8,1.0
2,9,5.0
2,10,4.0
2,11,2.0
3,1,4.0
3,2,1.0
3,3,2.0
3,4,5.0
3,5,3.0
3,6,1.0
3,7,4.0
3,8,5.0
3,9,1.0
3,10,3.0
3,11,4.0
4,1,1.0
4,2,5.0
4,3,2.0
4,4,5.0
4,5,1.0
4,6,3.0
4,7,4.0
4,8,1.0
4,9,2.0
4,10,4.0
4,11,2.0
5,1,4.0
5,2,2.0
5,3,1.0
5,4,4.0
5,5,3.0
5,6,2.0
5,7,5.0
5,8,1.0
5,9,2.0
5,10,4.0
5,11,5.0
7,1,1.0
7,2,4.0
7,3,2.0
7,4,4.0
7,5,1.0
7,6,5.0
7,7,1.0
7,8,2.0
7,9,4.0
7,10,2.0
7,11,1.0
3,1,1.0
3,2,2.0
3,3,5.0
3,4,1.0
3,5,2.0
3,6,4.0
3,7,1.0
3,8,5.0
3,9,1.0
3,10,4.0
3,11,2.0
8,1,2.0
8,2,3.0
8,3,1.0
8,4,5.0
8,5,3.0
8,6,1.0
8,7,5.0
8,8,3.0
8,9,1.0
8,10,4.0
8,11,1.0
293,1,1.0
293,2,2.0
293,3,1.0
293,4,2.0
293,5,4.0
293,6,1.0
293,7,4.0
293,8,1.0
293,9,4.0
293,10,1.0
293,11,4.0
